Order_ID,Order_Date,City,Region,Category,Sub_Category,Department,Customer_Type,Order_Priority,Quantity,Unit_Price,Discount_%,Gross_Sales,Revenue,Expenses,Profit,Profit_Margin_%,Expense_Ratio_%,Sales_Target,Target_Achievement_%,Return_Qty,Return_Rate_%
ORD-00015,3/19/2024,Chicago,Midwest,Office Supplies,Laptops,Retail,New,Express,1,300,0,300,300,152.56,147.44,0.4915,0.5085,223.51,0.4615,0,0
ORD-00016,12/12/2025,Phoenix,West,Office Supplies,Laptops,Retail,Returning,Standard,4,25,0.03,100,97,69.43,27.57,0.2842,0.7158,159.9,0.1244,0,0
ORD-00017,12/22/2025,New York,Northeast,Technology,Bags,Retail,Returning,Express,7,750,0,5250,5250,3660.29,1589.71,0.3028,0.6972,6192.08,4.8611,1,0.1429
ORD-00018,2/2/2024,Houston,South,Technology,Laptops,Retail,New,Express,3,500,0.05,1500,1425,848.36,576.64,0.4047,0.5953,1460.97,1.5833,0,0
ORD-00019,4/20/2024,Phoenix,West,Office Supplies,Laptops,Retail,Returning,Express,4,40,0,160,160,76.47,83.53,0.5221,0.4779,174.07,0.2346,0,0
ORD-00020,3/22/2025,Phoenix,West,Office Supplies,Bags,Retail,New,Standard,3,200,0.1,600,540,372.32,167.68,0.3105,0.6895,652.13,0.8308,1,0.3333
ORD-00021,4/8/2025,New York,Northeast,Appliances,Chairs,Corporate,Returning,Standard,2,80,0.08,160,147.2,95.42,51.78,0.3518,0.6482,246.55,0.1752,0,0
ORD-00022,2/8/2024,New York,Northeast,Appliances,Bags,Retail,Returning,Standard,5,150,0,750,750,568.4,181.6,0.2421,0.7579,1135.55,0.9375,1,0.2
ORD-00023,4/7/2025,New York,Northeast,Technology,Laptops,Enterprise,Returning,Express,2,40,0.03,80,77.6,41.12,36.48,0.4701,0.5299,83.02,0.0821,1,0.5
ORD-00024,6/5/2024,Houston,South,Technology,Phones,Retail,New,Standard,6,200,0.05,1200,1140,667.1,472.9,0.4148,0.5852,1411.2,1.2063,0,0
ORD-00025,10/15/2025,Phoenix,West,Accessories,Bags,Retail,New,Standard,4,25,0,100,100,76.29,23.71,0.2371,0.7629,135.4,0.1389,0,0
ORD-00026,4/10/2025,New York,Northeast,Furniture,Bags,Enterprise,Returning,Express,3,200,0.05,600,570,261.09,308.91,0.5419,0.4581,586.71,0.7234,0,0
ORD-00027,1/20/2025,Miami,South,Office Supplies,Chairs,Retail,New,Standard,5,100,0,500,500,363.28,136.72,0.2734,0.7266,536.83,0.7692,0,0
ORD-00028,11/15/2024,Phoenix,West,Accessories,Bags,Retail,New,Standard,6,25,0.1,150,135,93.09,41.91,0.3104,0.6896,221.31,0.1875,0,0
ORD-00029,4/28/2025,Houston,South,Furniture,Phones,Enterprise,Returning,Standard,4,200,0.15,800,680,431.09,248.91,0.366,0.634,723.24,0.8629,1,0.25
ORD-00030,12/10/2025,Houston,South,Accessories,Phones,Retail,Returning,Standard,5,60,0.05,300,285,173.06,111.94,0.3928,0.6072,247.93,0.3958,0,0
ORD-00031,3/12/2024,Houston,South,Accessories,Phones,Enterprise,New,Standard,5,60,0,300,300,183.94,116.06,0.3869,0.6131,318.82,0.5,0,0
ORD-00032,3/10/2024,Los Angeles,West,Office Supplies,Bags,Enterprise,Returning,Standard,5,200,0.1,1000,900,581.56,318.44,0.3538,0.6462,1387.83,1.3846,0,0
ORD-00033,4/21/2024,Houston,South,Accessories,Phones,Corporate,Returning,Standard,5,750,0,3750,3750,2170.99,1579.01,0.4211,0.5789,3935.51,5.9524,1,0.2
ORD-00034,9/18/2025,Chicago,Midwest,Appliances,Phones,Consumer,New,Standard,2,500,0.1,1000,900,502.38,397.62,0.4418,0.5582,965.85,1.0045,0,0
ORD-00035,2/7/2025,Chicago,Midwest,Furniture,Kitchen,Corporate,New,Standard,4,200,0.05,800,760,500.28,259.72,0.3417,0.6583,818.04,1.0133,0,0
ORD-00036,9/23/2024,Miami,South,Technology,Paper,Corporate,Returning,Standard,3,300,0,900,900,496.95,403.05,0.4478,0.5522,1072.15,0.8929,0,0
ORD-00037,6/20/2024,Phoenix,West,Appliances,Phones,Retail,New,Standard,1,300,0.15,300,255,168.64,86.36,0.3387,0.6613,338.6,0.3036,1,1
ORD-00038,1/1/2024,Houston,South,Furniture,Phones,Consumer,Returning,Standard,2,500,0.03,1000,970,652.06,317.94,0.3278,0.6722,1131.49,1.2933,1,0.5
ORD-00039,8/4/2024,Miami,South,Accessories,Phones,Enterprise,Returning,Express,7,100,0,700,700,500.11,199.89,0.2856,0.7144,932.22,1.0417,0,0
ORD-00040,3/21/2024,New York,Northeast,Accessories,Kitchen,Corporate,New,Standard,3,200,0.05,600,570,303.73,266.27,0.4671,0.5329,265.51,0.95,0,0
ORD-00041,12/3/2025,Los Angeles,West,Office Supplies,Laptops,Enterprise,Returning,Standard,4,25,0,100,100,70.51,29.49,0.2949,0.7051,151.78,0.1282,0,0
ORD-00042,11/17/2024,Los Angeles,West,Appliances,Kitchen,Corporate,New,Express,9,150,0.1,1350,1215,838.45,376.55,0.3099,0.6901,1061.69,1.2656,0,0
ORD-00043,11/7/2025,Phoenix,West,Office Supplies,Paper,Corporate,Returning,Standard,1,500,0.1,500,450,275.97,174.03,0.3867,0.6133,868.76,0.5769,0,0
ORD-00044,10/2/2024,Los Angeles,West,Appliances,Paper,Enterprise,Returning,Standard,3,25,0.1,75,67.5,40.76,26.74,0.3961,0.6039,58.07,0.0703,1,0.3333
ORD-00045,9/22/2024,Chicago,Midwest,Office Supplies,Kitchen,Retail,Returning,Standard,4,200,0,800,800,440.7,359.3,0.4491,0.5509,477.94,1.0989,0,0
ORD-00046,6/25/2024,Los Angeles,West,Appliances,Bags,Corporate,New,Standard,3,80,0.08,240,220.8,119.71,101.09,0.4578,0.5422,299.19,0.2629,0,0
ORD-00047,4/8/2024,Miami,South,Office Supplies,Laptops,Corporate,Returning,Standard,5,150,0.05,750,712.5,425.6,286.9,0.4027,0.5973,529.94,1.0447,0,0
ORD-00048,2/11/2024,Miami,South,Office Supplies,Bags,Retail,Returning,Express,4,200,0.1,800,720,434.47,285.53,0.3966,0.6034,564.82,1.1077,1,0.25
ORD-00049,10/22/2024,Miami,South,Office Supplies,Kitchen,Retail,New,Standard,3,80,0.08,240,220.8,140.94,79.86,0.3617,0.6383,234.22,0.2831,1,0.3333
ORD-00050,2/16/2024,Houston,South,Furniture,Paper,Retail,Returning,Standard,6,40,0.1,240,216,159.83,56.17,0.26,0.74,184.86,0.288,0,0
ORD-00051,5/31/2025,New York,Northeast,Technology,Kitchen,Retail,Returning,Standard,8,80,0.08,640,588.8,440.7,148.1,0.2515,0.7485,681.14,0.6231,0,0
ORD-00052,3/29/2025,Chicago,Midwest,Furniture,Phones,Consumer,Returning,Standard,5,80,0.03,400,388,249.05,138.95,0.3581,0.6419,301.8,0.5173,0,0
ORD-00053,8/16/2025,Los Angeles,West,Office Supplies,Bags,Consumer,Returning,Standard,5,500,0,2500,2500,1746.29,753.71,0.3015,0.6985,1491.55,3.4341,0,0
ORD-00054,12/26/2024,Phoenix,West,Accessories,Phones,Enterprise,New,Standard,3,60,0.08,180,165.6,105.58,60.02,0.3624,0.6376,77.12,0.23,1,0.3333
ORD-00055,4/22/2024,New York,Northeast,Furniture,Paper,Corporate,New,Standard,5,100,0.03,500,485,281.92,203.08,0.4187,0.5813,324.85,0.6155,0,0
ORD-00056,11/4/2024,Miami,South,Office Supplies,Bags,Corporate,New,Standard,6,150,0.08,900,828,500.14,327.86,0.396,0.604,974.7,1.0615,0,0
ORD-00057,9/26/2025,New York,Northeast,Furniture,Paper,Retail,Returning,Express,7,500,0.05,3500,3325,2152.04,1172.96,0.3528,0.6472,3876.61,3.9583,1,0.1429
ORD-00058,5/6/2024,New York,Northeast,Office Supplies,Phones,Corporate,Returning,Express,3,25,0,75,75,58.25,16.75,0.2233,0.7767,90.4,0.11,0,0
ORD-00059,10/5/2024,Miami,South,Accessories,Phones,Corporate,Returning,Standard,1,500,0.05,500,475,315.59,159.41,0.3356,0.6644,495.7,0.6597,0,0
ORD-00060,1/10/2024,New York,Northeast,Office Supplies,Phones,Corporate,New,Standard,3,750,0.05,2250,2137.5,1457.07,680.43,0.3183,0.6817,1668.03,3.2885,0,0
ORD-00061,11/14/2024,Houston,South,Appliances,Laptops,Retail,Returning,Standard,5,100,0.05,500,475,389,86,0.1811,0.8189,504.41,0.4948,1,0.2
ORD-00062,8/30/2024,New York,Northeast,Accessories,Laptops,Corporate,Returning,Standard,4,750,0.08,3000,2760,1934.15,825.85,0.2992,0.7008,2057.97,4.1071,0,0
ORD-00063,12/30/2024,Houston,South,Accessories,Laptops,Retail,Returning,Standard,5,25,0.08,125,115,74.82,40.18,0.3494,0.6506,90.56,0.1597,0,0
ORD-00064,12/1/2025,Miami,South,Accessories,Kitchen,Corporate,New,Standard,1,40,0.05,40,38,28.08,9.92,0.2611,0.7389,30.24,0.0528,0,0
ORD-00065,7/6/2024,Houston,South,Technology,Phones,Retail,New,Standard,4,150,0.1,600,540,363.84,176.16,0.3262,0.6738,360.93,0.5357,0,0
ORD-00066,7/16/2025,Chicago,Midwest,Technology,Laptops,Enterprise,New,Express,3,150,0,450,450,313.4,136.6,0.3036,0.6964,526.15,0.4464,0,0
ORD-00067,12/14/2024,Los Angeles,West,Technology,Kitchen,Corporate,Returning,Express,2,200,0.05,400,380,264.34,115.66,0.3044,0.6956,329.35,0.3519,1,0.5
ORD-00068,4/29/2025,Los Angeles,West,Furniture,Paper,Enterprise,New,Standard,2,80,0,160,160,85.04,74.96,0.4685,0.5315,170.95,0.203,1,0.5
ORD-00069,10/13/2025,Chicago,Midwest,Office Supplies,Chairs,Retail,New,Standard,5,150,0.05,750,712.5,514.7,197.8,0.2776,0.7224,415.53,0.9135,0,0
ORD-00070,4/27/2024,Phoenix,West,Technology,Phones,Consumer,New,Express,2,100,0.03,200,194,123.96,70.04,0.361,0.639,152.87,0.2053,0,0
ORD-00071,1/31/2024,Los Angeles,West,Technology,Laptops,Retail,Returning,Standard,4,200,0.1,800,720,412.62,307.38,0.4269,0.5731,741.56,0.8,0,0
ORD-00072,2/2/2025,Phoenix,West,Furniture,Laptops,Corporate,New,Standard,7,300,0.03,2100,2037,1220.01,816.99,0.4011,0.5989,2110.3,2.716,0,0
ORD-00073,3/28/2024,New York,Northeast,Furniture,Laptops,Enterprise,New,Express,5,40,0.05,200,190,116.45,73.55,0.3871,0.6129,224.15,0.2533,0,0
ORD-00074,2/9/2025,New York,Northeast,Accessories,Paper,Enterprise,Returning,Standard,3,80,0.05,240,228,141.49,86.51,0.3794,0.6206,238.98,0.38,0,0
ORD-00075,7/5/2024,New York,Northeast,Furniture,Bags,Consumer,Returning,Express,3,80,0,240,240,143.91,96.09,0.4004,0.5996,254.52,0.2857,0,0
ORD-00076,6/27/2025,Miami,South,Furniture,Chairs,Consumer,Returning,Express,4,60,0.05,240,228,128.53,99.47,0.4363,0.5637,344.45,0.2893,0,0
ORD-00077,4/24/2025,Miami,South,Furniture,Chairs,Retail,New,Standard,2,40,0,80,80,45.39,34.61,0.4326,0.5674,84,0.1015,0,0
ORD-00078,7/1/2024,Los Angeles,West,Office Supplies,Laptops,Retail,New,Standard,4,150,0.05,600,570,293.19,276.81,0.4856,0.5144,450.18,0.783,0,0
ORD-00079,1/26/2025,Los Angeles,West,Accessories,Phones,Consumer,New,Express,4,100,0.08,400,368,256.68,111.32,0.3025,0.6975,397.14,0.6133,0,0
ORD-00080,2/25/2025,Chicago,Midwest,Furniture,Laptops,Corporate,Returning,Standard,3,40,0,120,120,74.66,45.34,0.3778,0.6222,141.27,0.16,0,0
ORD-00081,10/4/2025,New York,Northeast,Furniture,Laptops,Retail,Returning,Express,3,150,0.03,450,436.5,338.93,97.57,0.2235,0.7765,536.68,0.485,0,0
ORD-00082,1/15/2024,Houston,South,Appliances,Chairs,Enterprise,New,Standard,1,40,0.08,40,36.8,28.09,8.71,0.2367,0.7633,38.77,0.046,0,0
ORD-00083,12/9/2025,Houston,South,Appliances,Kitchen,Corporate,New,Standard,1,100,0.1,100,90,73.8,16.2,0.18,0.82,121.99,0.0938,1,1
ORD-00084,5/18/2024,Miami,South,Appliances,Phones,Enterprise,New,Standard,5,60,0.15,300,255,176.22,78.78,0.3089,0.6911,309.5,0.3036,0,0
ORD-00085,12/12/2024,Chicago,Midwest,Technology,Phones,Retail,Returning,Express,4,60,0,240,240,178.57,61.43,0.256,0.744,185.93,0.2222,0,0
ORD-00086,8/14/2024,New York,Northeast,Appliances,Paper,Consumer,New,Standard,4,25,0,100,100,73.8,26.2,0.262,0.738,132.62,0.1116,0,0
ORD-00087,8/18/2024,Phoenix,West,Furniture,Paper,Retail,Returning,Standard,4,500,0.15,2000,1700,1323.84,376.16,0.2213,0.7787,1480.62,2.0238,0,0
ORD-00088,8/14/2024,Los Angeles,West,Office Supplies,Bags,Corporate,New,Standard,1,500,0,500,500,278,222,0.444,0.556,394.29,0.6868,0,0
ORD-00089,11/14/2025,New York,Northeast,Appliances,Kitchen,Retail,Returning,Standard,5,500,0.03,2500,2425,1802.35,622.65,0.2568,0.7432,2595.32,2.526,0,0
ORD-00090,12/11/2024,Miami,South,Accessories,Phones,Corporate,Returning,Standard,4,100,0,400,400,264.57,135.43,0.3386,0.6614,266.29,0.5556,1,0.25
ORD-00091,10/21/2025,Houston,South,Appliances,Chairs,Consumer,Returning,Standard,2,500,0.05,1000,950,765.22,184.78,0.1945,0.8055,625.81,0.9896,0,0
ORD-00092,2/1/2025,Miami,South,Office Supplies,Paper,Enterprise,New,Standard,2,80,0,160,160,79.44,80.56,0.5035,0.4965,189.51,0.2462,0,0
ORD-00093,11/13/2025,Phoenix,West,Accessories,Chairs,Retail,Returning,Express,11,80,0.05,880,836,596.3,239.7,0.2867,0.7133,656.01,1.1611,0,0
ORD-00094,1/9/2024,Miami,South,Appliances,Bags,Retail,Returning,Standard,7,200,0,1400,1400,1090.8,309.2,0.2209,0.7791,1449.18,1.75,1,0.1429
ORD-00095,12/14/2024,New York,Northeast,Technology,Laptops,Enterprise,Returning,Standard,1,60,0.08,60,55.2,37.25,17.95,0.3252,0.6748,59.12,0.0511,0,0
ORD-00096,7/18/2025,Los Angeles,West,Technology,Phones,Consumer,New,Express,3,750,0,2250,2250,1420.92,829.08,0.3685,0.6315,1685.71,2.2321,0,0
ORD-00097,9/26/2024,Los Angeles,West,Office Supplies,Kitchen,Retail,New,Standard,4,300,0,1200,1200,656.6,543.4,0.4528,0.5472,1284.34,1.6484,0,0
ORD-00098,7/28/2024,Los Angeles,West,Furniture,Chairs,Consumer,Returning,Standard,6,500,0.1,3000,2700,1562.72,1137.28,0.4212,0.5788,1990.06,3.2143,0,0
ORD-00099,1/29/2024,Houston,South,Office Supplies,Kitchen,Retail,Returning,Standard,6,25,0.08,150,138,66.49,71.51,0.5182,0.4818,144.14,0.2123,0,0
ORD-00100,1/6/2024,Los Angeles,West,Office Supplies,Chairs,Enterprise,Returning,Standard,4,25,0.05,100,95,64.19,30.81,0.3243,0.6757,146.47,0.1462,0,0
ORD-00101,9/9/2025,Miami,South,Accessories,Bags,Consumer,New,Standard,4,60,0.08,240,220.8,117.95,102.85,0.4658,0.5342,260.91,0.3286,1,0.25
ORD-00102,10/12/2024,Los Angeles,West,Accessories,Phones,Retail,Returning,Standard,2,300,0.05,600,570,321.72,248.28,0.4356,0.5644,339.19,0.7917,0,0
ORD-00103,12/24/2025,New York,Northeast,Accessories,Kitchen,Consumer,Returning,Standard,3,200,0.03,600,582,407.56,174.44,0.2997,0.7003,267.83,0.8083,0,0
ORD-00104,1/4/2025,Chicago,Midwest,Office Supplies,Paper,Corporate,Returning,Express,2,150,0.05,300,285,148.71,136.29,0.4782,0.5218,170.96,0.4385,0,0
ORD-00105,3/7/2024,Houston,South,Office Supplies,Phones,Enterprise,New,Express,4,200,0.05,800,760,438.11,321.89,0.4235,0.5765,828.6,1.1692,1,0.25
ORD-00106,3/27/2025,New York,Northeast,Accessories,Chairs,Retail,Returning,Standard,1,150,0.05,150,142.5,110.11,32.39,0.2273,0.7727,112.73,0.2375,0,0
ORD-00107,3/17/2025,Chicago,Midwest,Office Supplies,Paper,Enterprise,Returning,Standard,4,60,0.1,240,216,108.91,107.09,0.4958,0.5042,251.76,0.3323,0,0
ORD-00108,8/29/2024,New York,Northeast,Technology,Paper,Retail,Returning,Standard,3,100,0.03,300,291,149.38,141.62,0.4867,0.5133,347.53,0.2887,0,0
ORD-00109,9/5/2025,Chicago,Midwest,Technology,Paper,Corporate,Returning,Standard,4,500,0,2000,2000,1110.85,889.15,0.4446,0.5554,1552.91,1.9841,0,0
ORD-00110,5/1/2024,Chicago,Midwest,Furniture,Paper,Retail,New,Standard,1,100,0,100,100,71.67,28.33,0.2833,0.7167,75.53,0.1269,0,0
ORD-00111,1/3/2024,Phoenix,West,Office Supplies,Paper,Retail,New,Standard,4,200,0.08,800,736,511.58,224.42,0.3049,0.6951,901.11,1.1323,0,0
ORD-00112,10/16/2024,Los Angeles,West,Appliances,Laptops,Retail,New,Standard,3,200,0.05,600,570,458.19,111.81,0.1962,0.8038,596.87,0.5938,0,0
ORD-00113,3/24/2024,New York,Northeast,Technology,Bags,Consumer,New,Standard,3,80,0.03,240,232.8,157.62,75.18,0.3229,0.6771,250.24,0.2587,0,0
ORD-00114,8/18/2024,Los Angeles,West,Office Supplies,Paper,Retail,New,Standard,6,300,0,1800,1800,1132.96,667.04,0.3706,0.6294,1346.51,2.4725,0,0
ORD-00115,12/10/2025,New York,Northeast,Technology,Chairs,Enterprise,New,Standard,6,40,0.05,240,228,179.45,48.55,0.2129,0.7871,524.41,0.2111,0,0
ORD-00116,3/20/2024,Los Angeles,West,Furniture,Laptops,Retail,Returning,Standard,7,60,0.03,420,407.4,305.48,101.92,0.2502,0.7498,443.61,0.5432,0,0
ORD-00117,3/29/2024,Phoenix,West,Office Supplies,Phones,Enterprise,Returning,Express,3,200,0.05,600,570,318.28,251.72,0.4416,0.5584,670.54,0.8769,0,0
ORD-00118,6/19/2024,Los Angeles,West,Technology,Laptops,Consumer,Returning,Standard,4,60,0.1,240,216,135.31,80.69,0.3736,0.6264,162.26,0.2286,0,0
ORD-00119,3/19/2024,Phoenix,West,Furniture,Bags,Retail,Returning,Standard,6,100,0.05,600,570,377.26,192.74,0.3381,0.6619,611.35,0.76,0,0
ORD-00120,4/21/2024,Chicago,Midwest,Office Supplies,Phones,Corporate,Returning,Standard,7,500,0.05,3500,3325,1790.45,1534.55,0.4615,0.5385,3467.32,4.8754,0,0
ORD-00121,10/9/2024,Los Angeles,West,Accessories,Phones,Retail,New,Standard,5,80,0.15,400,340,226.32,113.68,0.3344,0.6656,254.38,0.4722,1,0.2
ORD-00122,1/19/2024,New York,Northeast,Furniture,Laptops,Enterprise,Returning,Standard,3,25,0.03,75,72.75,45.77,26.98,0.3709,0.6291,87.87,0.097,1,0.3333
ORD-00123,12/26/2025,Los Angeles,West,Appliances,Chairs,Corporate,Returning,Standard,4,300,0.08,1200,1104,905.28,198.72,0.18,0.82,2532.15,1.15,0,0
ORD-00124,6/1/2025,Phoenix,West,Accessories,Laptops,Corporate,Returning,Express,5,300,0,1500,1500,799.59,700.41,0.4669,0.5331,1554.32,2.381,1,0.2
ORD-00125,4/18/2025,New York,Northeast,Appliances,Chairs,Corporate,Returning,Standard,1,60,0,60,60,38.19,21.81,0.3635,0.6365,51.2,0.0714,0,0
ORD-00126,2/13/2025,Miami,South,Technology,Phones,Corporate,New,Express,10,80,0,800,800,437.53,362.47,0.4531,0.5469,532.46,0.8889,0,0
ORD-00127,5/4/2024,New York,Northeast,Office Supplies,Bags,Retail,Returning,Express,7,100,0.05,700,665,456.32,208.68,0.3138,0.6862,888.37,0.9751,0,0
ORD-00128,3/4/2025,Miami,South,Accessories,Laptops,Retail,Returning,Standard,5,500,0.08,2500,2300,1202.59,1097.41,0.4771,0.5229,2783.96,3.8333,0,0
ORD-00129,5/9/2024,New York,Northeast,Furniture,Chairs,Corporate,New,Standard,5,300,0.05,1500,1425,1168.5,256.5,0.18,0.82,1111.64,1.8084,0,0
ORD-00130,11/12/2024,Chicago,Midwest,Furniture,Paper,Consumer,Returning,Standard,3,25,0.05,75,71.25,51.38,19.87,0.2789,0.7211,76.96,0.0792,0,0
ORD-00131,3/5/2024,Phoenix,West,Office Supplies,Bags,Corporate,New,Standard,5,40,0,200,200,123.48,76.52,0.3826,0.6174,117.14,0.3077,0,0
ORD-00132,11/8/2024,New York,Northeast,Appliances,Laptops,Enterprise,New,Standard,2,60,0,120,120,83.33,36.67,0.3056,0.6944,201.99,0.125,0,0
ORD-00133,6/11/2024,Houston,South,Accessories,Chairs,Enterprise,Returning,Standard,1,80,0.08,80,73.6,49.36,24.24,0.3293,0.6707,141.59,0.1168,0,0
ORD-00134,8/7/2025,Chicago,Midwest,Furniture,Laptops,Retail,Returning,Standard,7,25,0.08,175,161,121.58,39.42,0.2448,0.7552,196.47,0.1917,0,0
ORD-00135,10/5/2024,Chicago,Midwest,Furniture,Laptops,Retail,New,Standard,6,60,0.05,360,342,245.6,96.4,0.2819,0.7181,255.93,0.38,0,0
ORD-00136,11/22/2024,Los Angeles,West,Appliances,Paper,Retail,Returning,Standard,5,100,0.03,500,485,381.34,103.66,0.2137,0.7863,917.42,0.5052,0,0
ORD-00137,7/23/2024,Chicago,Midwest,Furniture,Paper,Retail,Returning,Express,2,60,0,120,120,69.77,50.23,0.4186,0.5814,282.54,0.1429,0,0
ORD-00138,12/25/2024,Los Angeles,West,Technology,Chairs,Consumer,New,Standard,7,25,0.05,175,166.25,136.32,29.93,0.18,0.82,199.81,0.1539,0,0
ORD-00139,11/27/2025,Chicago,Midwest,Technology,Bags,Enterprise,Returning,Standard,7,200,0.05,1400,1330,884.15,445.85,0.3352,0.6648,1641.01,1.2315,1,0.1429
ORD-00140,11/25/2025,Phoenix,West,Technology,Laptops,Corporate,New,Standard,3,25,0,75,75,48.94,26.06,0.3475,0.6525,90.8,0.0694,0,0
ORD-00141,8/11/2025,New York,Northeast,Appliances,Chairs,Retail,New,Standard,8,100,0,800,800,569.26,230.74,0.2884,0.7116,861.54,0.8929,0,0
ORD-00142,7/29/2025,Los Angeles,West,Accessories,Kitchen,Enterprise,New,Standard,7,750,0.1,5250,4725,3355.5,1369.5,0.2898,0.7102,4983.39,7.0312,0,0
ORD-00143,8/23/2025,Chicago,Midwest,Furniture,Paper,Consumer,Returning,Standard,9,200,0.08,1800,1656,1188.76,467.24,0.2821,0.7179,1975.58,1.9714,0,0
ORD-00144,3/15/2025,New York,Northeast,Accessories,Laptops,Retail,Returning,Standard,4,40,0.03,160,155.2,100.4,54.8,0.3531,0.6469,134.57,0.2587,0,0
ORD-00145,2/15/2024,Chicago,Midwest,Technology,Paper,Consumer,New,Standard,4,80,0.03,320,310.4,188.3,122.1,0.3934,0.6066,243.77,0.3449,1,0.25
ORD-00146,2/28/2025,Los Angeles,West,Appliances,Bags,Retail,New,Standard,1,200,0.15,200,170,112.81,57.19,0.3364,0.6636,202.99,0.2125,0,0
ORD-00147,10/10/2024,Miami,South,Office Supplies,Phones,Enterprise,Returning,Standard,7,80,0.08,560,515.2,312.08,203.12,0.3943,0.6057,554.23,0.6605,1,0.1429
ORD-00148,8/10/2024,Chicago,Midwest,Office Supplies,Bags,Corporate,Returning,Standard,7,200,0.08,1400,1288,854.11,433.89,0.3369,0.6631,1580.02,1.7692,0,0
ORD-00149,9/5/2025,New York,Northeast,Accessories,Phones,Retail,Returning,Standard,7,60,0,420,420,223.99,196.01,0.4667,0.5333,453.28,0.625,0,0
ORD-00150,9/22/2025,Miami,South,Technology,Phones,Enterprise,New,Standard,2,100,0.08,200,184,87.84,96.16,0.5226,0.4774,348.04,0.1825,0,0
ORD-00151,5/20/2025,New York,Northeast,Appliances,Kitchen,Retail,Returning,Standard,7,300,0,2100,2100,1590.89,509.11,0.2424,0.7576,2475.4,2.5,0,0
ORD-00152,12/7/2025,Los Angeles,West,Furniture,Chairs,Consumer,Returning,Standard,6,750,0.03,4500,4365,3256.23,1108.77,0.254,0.746,2940.29,4.85,0,0
ORD-00153,2/8/2024,Los Angeles,West,Appliances,Paper,Retail,Returning,Standard,4,100,0.1,400,360,257.28,102.72,0.2853,0.7147,541.55,0.45,0,0
ORD-00154,12/10/2025,Los Angeles,West,Office Supplies,Kitchen,Retail,Returning,Express,6,300,0.08,1800,1656,958.24,697.76,0.4214,0.5786,1435.07,2.1231,0,0
ORD-00155,7/13/2025,Phoenix,West,Technology,Paper,Consumer,New,Express,8,500,0.03,4000,3880,2696.72,1183.28,0.305,0.695,5148.68,3.8492,1,0.125
ORD-00156,1/21/2024,Phoenix,West,Furniture,Phones,Consumer,Returning,Standard,2,100,0.08,200,184,145.36,38.64,0.21,0.79,354.93,0.2453,0,0
ORD-00157,12/12/2024,Chicago,Midwest,Appliances,Bags,Retail,Returning,Express,9,500,0.15,4500,3825,2895.73,929.27,0.2429,0.7571,2247.74,3.9844,0,0
